FECHA (YYMMDD);HORA (HHMM);;
200403;1100;0,890689;
200403;1200;1,16141;
200403;1300;1,26273;
200403;1400;1,80922;
200403;1500;2,41916;
200403;1600;2,27982;
200403;1700;2,09311;
200403;1800;2,00955;
200403;1900;1,69168;
200403;2000;1,26609;
200403;2100;0,814502;
200403;2200;0,58928;
200403;2300;0,0213134;
200404;0000;0,114224;
200404;0100;0,0388252;
200404;0200;0,0516661;
200404;0300;0,084082;
200404;0400;0,0454586;
200404;0500;0,0908543;
200404;0600;0,196296;
200404;0700;0,129631;
200404;0800;0,032827;
200404;0900;0,789473;
200404;1000;0,589229;
200404;1100;0,592058;
200404;1200;0,896144;
200404;1300;0,876285;
200404;1400;1,09156;
200404;1500;1,64687;
200404;1600;1,93239;
200404;1700;1,60728;
200404;1800;2,09739;
200404;1900;1,27155;
200404;2000;1,2909;
200404;2100;0,551727;
200404;2200;0,682161;
200404;2300;0,0337912;
200405;0000;0,0823674;
200405;0100;0,071883;
200405;0200;0,147222;
200405;0300;0,0791318;
200405;0400;0,476488;
200405;0500;0,29897;
200405;0600;0,0636523;
200405;0700;0,453971;
200405;0800;0,0803231;
200405;0900;0,338029;
200405;1000;1,18986;
200405;1100;1,15658;
200405;1200;1,06775;
200405;1300;1,74068;
200405;1400;1,10373;
200405;1500;1,06519;
200405;1600;2,18072;
200405;1700;2,01437;
200405;1800;2,41097;
200405;1900;1,56779;
200405;2000;0,753373;
200405;2100;0,0183171;
200405;2200;0,559307;
200405;2300;0,670677;
200406;0000;0,269382;
200406;0100;0,359443;
200406;0200;0,169124;
200406;0300;0,277849;
200406;0400;0,0371117;
200406;0500;0,186956;
200406;0600;0,0985188;
200406;0700;0,188146;
200406;0800;0,068972;
200406;0900;0,148475;
200406;1000;0,508112;
200406;1100;0,571613;
200406;1200;0,266697;
200406;1300;0,483565;
200406;1400;1,0611;
200406;1500;1,75488;
200406;1600;2,07256;
200406;1700;2,15431;
200406;1800;1,911;
200406;1900;1,07939;
200406;2000;0,218004;
200406;2100;0,0130619;
200406;2200;0,161202;
200406;2300;0,0200161;
200407;0000;0,102492;
200407;0100;0,0613139;
200407;0200;0,076818;
200407;0300;0,10949;
200407;0400;0,0900319;
200407;0500;0,0728904;
200407;0600;0,096591;
200407;0700;0,0515516;
200407;0800;0,0739156;
200407;0900;0,0263842;
200407;1000;0,144463;
200407;1100;0,171362;
200407;1200;0,604513;
200407;1300;0,720396;
200407;1400;1,28565;
200407;1500;1,91844;
200407;1600;2,27074;
200407;1700;2,42926;
200407;1800;1,85067;
200407;1900;1,31131;
200407;2000;0,639618;
200407;2100;0,105408;
200407;2200;0,13673;
200407;2300;0,10575;
200408;0000;0,185007;
200408;0100;0,0117268;
200408;0200;0,0649158;
200408;0300;0,0497734;
200408;0400;0,0290346;
200408;0500;0,0340343;
200408;0600;0,0182753;
200408;0700;0,034731;
200408;0800;0,0770485;
200408;0900;0,402805;
200408;1000;0,7245;
200408;1100;1,07185;
200408;1200;1,06836;
200408;1300;2,11232;
200408;1400;2,3181;
200408;1500;2,6867;
200408;1600;2,71664;
200408;1700;2,3906;
200408;1800;2,02619;
200408;1900;1,71636;
200408;2000;1,41123;
200408;2100;1,26192;
200408;2200;1,15745;
200408;2300;1,12422;
200409;0000;1,00381;
200409;0100;0,543687;
200409;0200;0,752652;
200409;0300;0,804499;
200409;0400;0,754039;
200409;0500;0,796806;
200409;0600;0,617466;
200409;0700;0,47753;
200409;0800;0,46039;
200409;0900;0,430621;
200409;1000;0,425642;
200409;1100;0,857887;
200409;1200;0,667427;
200409;1300;0,726253;
200409;1400;1,80845;
200409;1500;1,98468;
200409;1600;2,2592;
200409;1700;2,09215;
200409;1800;2,24702;
200409;1900;1,34794;
200409;2000;1,13041;
200409;2100;1,13224;
200409;2200;1,16062;
200409;2300;0,734577;
200410;0000;0,557594;
200410;0100;0,70063;
200410;0200;1,34302;
200410;0300;1,29729;
200410;0400;0,668332;
200410;0500;0,728983;
200410;0600;0,575097;
200410;0700;0,387878;
200410;0800;0,770616;
200410;0900;0,450672;
200410;1000;0,256609;
200410;1100;0,41814;
200410;1200;0,810683;
200410;1300;1,12808;
200410;1400;1,32318;
200410;1500;1,83327;
200410;1600;2,09036;
200410;1700;2,26356;
200410;1800;1,80307;
200410;1900;1,47617;
200410;2000;1,01958;
200410;2100;0,679295;
200410;2200;0,582762;
200410;2300;0,539686;
200411;0000;0,731152;
200411;0100;0,314837;
200411;0200;0,0573579;
200411;0300;0,367199;
200411;0400;0,153638;
200411;0500;0,1888;
200411;0600;0,32478;
200411;0700;0,25576;
200411;0800;0,0370373;
200411;0900;0,650897;
200411;1000;0,387072;
200411;1100;0,363445;
200411;1200;1,08845;
200411;1300;1,46936;
200411;1400;0,768606;
200411;1500;0,846119;
200411;1600;1,66838;
200411;1700;1,55997;
200411;1800;1,53171;
200411;1900;1,60115;
200411;2000;0,938386;
200411;2100;1,03224;
200411;2200;1,06403;
200411;2300;0,718782;
200412;0000;0,0466337;
200412;0100;0,555605;
200412;0200;0,335586;
200412;0300;0,625377;
200412;0400;0,351516;
200412;0500;0,258321;
200412;0600;0,536011;
200412;0700;0,337459;
200412;0800;0,284665;
200412;0900;0,385681;
200412;1000;0,7526;
200412;1100;0,53626;
200412;1200;0,871786;
200412;1300;0,10275;
200412;1400;1,05468;
200412;1500;1,34431;
200412;1600;0,805077;
200412;1700;1,08372;
200412;1800;1,65243;
200412;1900;1,06172;
200412;2000;1,0256;
200412;2100;0,748162;
200412;2200;0,714691;
200412;2300;0,561031;
200413;0000;0,131333;
200413;0100;0,548103;
200413;0200;0,800029;
200413;0300;0,562188;
200413;0400;0,399922;
200413;0500;0,461186;
200413;0600;0,39539;
200413;0700;0,378994;
200413;0800;0,411324;
200413;0900;0,452287;
200413;1000;0,196676;
200413;1100;0,574984;
200413;1200;0,173431;
200413;1300;0,61982;
200413;1400;0,26722;
200413;1500;0,603885;
200413;1600;1,60699;
200413;1700;1,82905;
200413;1800;1,45577;
200413;1900;0,817312;
200413;2000;0,264349;
200413;2100;0,0700431;
200413;2200;0,0666653;
200413;2300;0,0595018;
200414;0000;0,14872;
200414;0100;0,100249;
200414;0200;0,156214;
200414;0300;0,0902774;
200414;0400;0,0642314;
200414;0500;0,148038;
200414;0600;0,102054;
200414;0700;0,171357;
200414;0800;0,179549;
200414;0900;0,110274;
200414;1000;0,171422;
200414;1100;0,190968;
200414;1200;0,364114;
200414;1300;0,257745;
200414;1400;1,28791;
200414;1500;1,57421;
200414;1600;2,0103;
200414;1700;2,00437;
200414;1800;1,77859;
200414;1900;1,50188;
200414;2000;0,978588;
200414;2100;0,507024;
200414;2200;0,421107;
200414;2300;0,131563;
200415;0000;0,333135;
200415;0100;0,349004;
200415;0200;0,120864;
200415;0300;0,0847909;
200415;0400;0,0513986;
200415;0500;0,0594731;
200415;0600;0,0437351;
200415;0700;0,0459471;
200415;0800;0,166966;
200415;0900;0,202315;
200415;1000;0,593512;
200415;1100;0,475526;
200415;1200;0,636506;
200415;1300;0,704533;
200415;1400;0,949283;
200415;1500;1,78092;
200415;1600;2,42864;
200415;1700;2,27628;
200415;1800;1,9145;
200415;1900;1,26006;
200415;2000;1,06122;
200415;2100;0,658806;
200415;2200;0,600544;
200415;2300;0,678843;
200416;0000;0,159806;
200416;0100;0,152622;
200416;0200;0,383216;
200416;0300;0,0773292;
200416;0400;0,116258;
200416;0500;0,0943612;
200416;0600;0,323078;
200416;0700;0,0160061;
200416;0800;0,117431;
200416;0900;0,704012;
200416;1000;0,980169;
200416;1100;0,512359;
200416;1200;0,858734;
200416;1300;1,12919;
200416;1400;0,334449;
200416;1500;0,987319;
200416;1600;1,04985;
200416;1700;1,72152;
200416;1800;1,79435;
200416;1900;1,03493;
200416;2000;0,479514;
200416;2100;0,0445902;
200416;2200;0,186306;
200416;2300;0,0371707;
200417;0000;0,0133321;
200417;0100;0,0778739;
200417;0200;0,205249;
200417;0300;0,257599;
200417;0400;0,288644;
200417;0500;0,338338;
200417;0600;0,0903146;
200417;0700;0,0899811;
200417;0800;0,0354944;
200417;0900;0,0540021;
